month,retail_sales_const,retail_sales_const_sa,retail_yoy_pct
2002-01-01,43977.0,47303.0,
2002-02-01,42747.0,47198.0,
2002-03-01,47126.0,48228.0,
2002-04-01,45385.0,47680.0,
2002-05-01,47538.0,48123.0,
2002-06-01,46236.0,47988.0,
2002-07-01,45598.0,47437.0,
2002-08-01,45986.0,47991.0,
2002-09-01,45258.0,46984.0,
2002-10-01,46914.0,47164.0,
2002-11-01,49895.0,47580.0,
2002-12-01,64340.0,47338.0,
2003-01-01,45353.0,48856.0,3.128908292971322
2003-02-01,43638.0,48135.0,2.084356796968212
2003-03-01,48369.0,49579.0,2.637609811993369
2003-04-01,46705.0,48971.0,2.908449928390433
2003-05-01,49088.0,49703.0,3.260549455172712
2003-06-01,47671.0,49523.0,3.103642183579902
2003-07-01,48013.0,49979.0,5.296284924777406
2003-08-01,47603.0,49677.0,3.5162875657808845
2003-09-01,48686.0,50496.0,7.574351495868137
2003-10-01,49985.0,50214.0,6.546020377712414
2003-11-01,53741.0,51221.0,7.708187193105531
2003-12-01,70204.0,51671.0,9.114081442337586
2004-01-01,50533.0,54559.0,11.42151566599785
2004-02-01,49030.0,53991.0,12.356203309042568
2004-03-01,51682.0,53081.0,6.849428352870635
2004-04-01,50809.0,53115.0,8.787067765763833
2004-05-01,53631.0,54308.0,9.254807692307686
2004-06-01,53509.0,55671.0,12.24643913490382
2004-07-01,54254.0,56535.0,12.998562889217503
2004-08-01,52436.0,54739.0,10.152721467134418
2004-09-01,54925.0,56845.0,12.814772213778092
2004-10-01,57116.0,57346.0,14.266279883965183
2004-11-01,59938.0,57095.0,11.531233136711272
2004-12-01,78576.0,57900.0,11.925246424705138
2005-01-01,52531.0,56875.0,3.953851938337327
2005-02-01,51976.0,57026.0,6.008566183968989
2005-03-01,55323.0,56921.0,7.045005998219889
2005-04-01,56186.0,58539.0,10.58277076895826
2005-05-01,57766.0,58581.0,7.710093043202626
2005-06-01,56806.0,59135.0,6.161580294903657
2005-07-01,57078.0,59564.0,5.205146164338115
2005-08-01,58170.0,60732.0,10.935235334503023
2005-09-01,59389.0,61360.0,8.127446517979052
2005-10-01,62948.0,63147.0,10.210799075565525
2005-11-01,66018.0,62900.0,10.143815275784984
2005-12-01,86941.0,64180.0,10.645744247607404
2006-01-01,57771.0,62628.0,9.975062344139651
2006-02-01,59172.0,64735.0,13.844851469909191
2006-03-01,62694.0,64535.0,13.323572474377743
2006-04-01,63220.0,65681.0,12.519132880076889
2006-05-01,65034.0,66027.0,12.581795519855966
2006-06-01,63521.0,66145.0,11.820934408337159
2006-07-01,64526.0,67415.0,13.048810399803767
2006-08-01,65197.0,68080.0,12.0801100223483
2006-09-01,68469.0,70648.0,15.289026587415178
2006-10-01,68750.0,68919.0,9.21713160068629
2006-11-01,74623.0,71256.0,13.034323972249995
2006-12-01,94085.0,69618.0,8.217066746414226
2007-01-01,64326.0,69639.0,11.346523342161285
2007-02-01,64249.0,70084.0,8.580071655512732
2007-03-01,69932.0,71914.0,11.544964430408022
2007-04-01,69108.0,71685.0,9.313508383422974
2007-05-01,71608.0,72869.0,10.108558600116858
2007-06-01,69102.0,71878.0,8.786070748256481
2007-07-01,68556.0,71619.0,6.245544431701955
2007-08-01,69451.0,72559.0,6.524840100004603
2007-09-01,70178.0,72411.0,2.4960200966861024
2007-10-01,71243.0,71449.0,3.6261818181818173
2007-11-01,75851.0,72678.0,1.6456052423515555
2007-12-01,96149.0,71254.0,2.1937609608332798
2008-01-01,65498.0,70293.0,1.8219693436557494
2008-02-01,67675.0,72805.0,5.332378714065578
2008-03-01,71518.0,72652.0,2.2679174054796025
2008-04-01,70849.0,73760.0,2.5192452393355325
2008-05-01,70770.0,73021.0,-1.1702603061110484
2008-06-01,70415.0,73110.0,1.900089722439291
2008-07-01,68838.0,71278.0,0.4113425520742231
2008-08-01,68967.0,72081.0,-0.6968942131862721
2008-09-01,69443.0,71887.0,-1.0473367722078186
2008-10-01,72186.0,72562.0,1.3236388136378396
2008-11-01,74249.0,71783.0,-2.1120354378979855
2008-12-01,96243.0,71042.0,0.09776492735233955
2009-01-01,66628.0,71026.0,1.725243518886077
2009-02-01,64970.0,70703.0,-3.997044698928698
2009-03-01,68271.0,69980.0,-4.540115775049635
2009-04-01,66598.0,69109.0,-6.000084687151553
2009-05-01,68294.0,70247.0,-3.498657623286705
2009-06-01,66774.0,69549.0,-5.170773272740181
2009-07-01,67590.0,69859.0,-1.8129521485226174
2009-08-01,66607.0,69832.0,-3.4219264285817896
2009-09-01,67873.0,70027.0,-2.260847025618129
2009-10-01,69653.0,69952.0,-3.508990663009448
2009-11-01,71442.0,69723.0,-3.780522296596589
2009-12-01,95120.0,70231.0,-1.166838107706536
2010-01-01,67100.0,71140.0,0.7084108783094178
2010-02-01,65824.0,71768.0,1.3144528243804743
2010-03-01,70694.0,71946.0,3.5490911221455645
2010-04-01,69321.0,72247.0,4.0887113727138935
2010-05-01,71479.0,73914.0,4.663660057984598
2010-06-01,72120.0,74908.0,8.006110162638148
2010-07-01,73450.0,75703.0,8.669921586033436
2010-08-01,69796.0,73763.0,4.7877850676355305
2010-09-01,71897.0,74387.0,5.928719814948513
2010-10-01,74084.0,74130.0,6.361535037973964
2010-11-01,77230.0,75514.0,8.101676884745679
2010-12-01,103024.0,75830.0,8.309503784693018
2011-01-01,71518.0,76099.0,6.584202682563345
2011-02-01,69683.0,76021.0,5.862603305785119
2011-03-01,74097.0,76470.0,4.813704133306929
2011-04-01,76157.0,77362.0,9.861369570548618
2011-05-01,72593.0,75867.0,1.5584996992123568
2011-06-01,73804.0,76882.0,2.3349972268441377
2011-07-01,75436.0,77338.0,2.7038801906058563
2011-08-01,74693.0,78856.0,7.016161384606567
2011-09-01,77183.0,79832.0,7.352184374869597
2011-10-01,79699.0,80012.0,7.579234382592737
2011-11-01,82641.0,80532.0,7.006344684708021
2011-12-01,111593.0,81465.0,8.317479422270546
2012-01-01,74724.0,80158.0,4.48278754998741
